Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610005C13Rik	0.977177745	0.566517479	1.103274715	0.513487231	0.60761054	NA
0610007C21Rik	343.2652578	-0.039345351	0.063574923	-0.618881619	0.535994349	0.841040416
0610007L01Rik	413.2193252	-0.054962193	0.058231887	-0.943850453	0.345246074	0.741567039
0610007P08Rik	232.7089831	0.143059941	0.079580532	1.797675103	0.072228509	0.404928963
0610007P14Rik	273.1435613	-0.008656959	0.08194017	-0.105649754	0.915860247	0.977131298
0610007P22Rik	0.123045033	0.064312919	3.06038251	0.021014667	0.983233956	NA
0610008F07Rik	0	NA	NA	NA	NA	NA
0610009B14Rik	6.445945121	0.400096301	0.469058453	0.852977488	0.393671788	NA
0610009B22Rik	250.3315874	-0.074274418	0.089421433	-0.830610912	0.406193468	0.773691776
0610009D07Rik	322.0435002	0.005524311	0.081133979	0.068088748	0.945714987	0.986538075
0610009L18Rik	9.464003476	0.05837271	0.394257369	0.148057372	0.882297491	NA
0610009O20Rik	454.4407674	-0.083172475	0.058523535	-1.421179958	0.15526445	0.557480385
0610010B08Rik	4.105549495	0.467281312	0.537771277	0.868922034	0.384889777	NA
0610010F05Rik	251.0708569	-0.004845715	0.082420509	-0.058792586	0.953117313	0.987282739
0610010K14Rik	0	NA	NA	NA	NA	NA
0610010O12Rik	123.3168419	-0.008762636	0.100563572	-0.087135291	0.930563974	0.982017176
0610011F06Rik	144.9880114	-0.049504522	0.089936977	-0.550435691	0.582020574	0.862032257
0610011L14Rik	0.403505202	-0.874356288	1.680810439	-0.520199225	0.602924725	NA
0610012G03Rik	296.7102707	-0.062147194	0.066407949	-0.935839681	0.349355738	0.744214965
0610012H03Rik	0	NA	NA	NA	NA	NA
0610025J13Rik	0.16441817	0.424984624	2.911265189	0.145979358	0.883937684	NA
0610030E20Rik	275.776083	0.084248901	0.062871926	1.340008268	0.180242657	0.588256014
0610031J06Rik	126.2486026	0.106821124	0.107381171	0.994784496	0.319841088	0.726348355
0610037L13Rik	121.0732259	-0.062075713	0.112272082	-0.552904267	0.580328965	0.860771546
0610037P05Rik	207.3703331	0.207891055	0.089915206	2.312078957	0.020773333	0.215356387
0610038B21Rik	24.22208124	-0.479362721	0.201695175	-2.376669249	0.017469745	NA
0610039K10Rik	1.122615946	-0.048269483	1.151044942	-0.041935359	0.966550229	NA
0610040B10Rik	17.83772875	0.095550344	0.282013948	0.338814248	0.734749667	NA
0610040J01Rik	11.36389079	-0.108193383	0.314927475	-0.343550155	0.731184616	NA
0910001L09Rik	229.5116069	0.044118821	0.074706154	0.590564747	0.554812091	0.851929001
1-Mar	91.1951999	0.140968343	0.11695746	1.205295866	0.228089105	0.643225087
1-Sep	10.12211569	0.339737572	0.336013294	1.011083722	0.311976361	NA
10-Mar	0.490796949	1.332324669	1.493955413	0.891810195	0.372494676	NA
10-Sep	4.238876282	0.434543424	0.551832119	0.787455838	0.431015071	NA
100041515	0	NA	NA	NA	NA	NA
100043387	0	NA	NA	NA	NA	NA
1010001N08Rik	0	NA	NA	NA	NA	NA
11-Mar	17.53008735	0.333624276	0.253624951	1.315423717	0.188367539	NA
11-Sep	559.2288592	-0.019241931	0.056764976	-0.33897542	0.734628247	0.919145715
1100001G20Rik	0	NA	NA	NA	NA	NA
1110001A16Rik	5.807029273	0.619513228	0.510294381	1.214031061	0.224735863	NA
1110001J03Rik	103.5673447	0.2147708	0.110465447	1.944235101	0.051867107	0.344545199
1110002B05Rik	179.2088113	0.157323823	0.08239226	1.90944905	0.056204188	0.356997192
1110002L01Rik	756.7442416	0.214392751	0.056488755	3.795317318	0.000147455	0.007749727
1110002N22Rik	32.52305728	0.132302347	0.192105213	0.688697332	0.491013756	0.822199508
1110003E01Rik	309.613699	0.04435228	0.073617579	0.602468609	0.546862253	0.847171972
1110004E09Rik	354.7854934	-0.036476419	0.073577054	-0.49575808	0.620065104	0.881345531
1110004F10Rik	497.3727196	0.11451167	0.076023211	1.506272487	0.131997238	0.528224031
1110005A03Rik	109.6669482	0.124226295	0.112013992	1.109024793	0.267419486	0.682409364
1110006O24Rik	5.941693923	0.507546422	0.428902155	1.183361791	0.236665793	NA
