RefSeq Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1300018I17Rik	242.7758952	-0.221981787	0.072266793	-3.07169834	0.002128447	0.055386346
1700027L20Rik	54.56851159	-0.954960107	0.179418409	-5.322531361	1.02e-07	2.02e-05
2610034M16Rik	3208.435004	-0.826818987	0.072062002	-11.47371656	1.79e-30	4.770000000000001e-27
2810030E01Rik	1183.573532	-0.236700963	0.052232934	-4.531642143	5.85e-06	0.000637167
4631416L12Rik	1376.421062	-0.219794278	0.054094776	-4.063133154	4.84e-05	0.003443839
4930572J05Rik	371.3989295	-0.252295511	0.060818293	-4.14834911	3.35e-05	0.002646556
4932416H05Rik	103.1361278	-0.321094363	0.112884301	-2.84445543	0.004448741	0.086140866
5430419D17Rik	405.3872632	-0.643524317	0.103923845	-6.192268189	5.93e-10	2.26e-07
A830039N20Rik	643.8845185	-0.191940746	0.06683344	-2.871926769	0.004079775	0.08212664
Aars	1820.993698	-0.164142246	0.053941124	-3.042988961	0.002342409	0.058742717
Abca5	790.3950393	-0.143465033	0.04898722	-2.92862166	0.003404686	0.073617793
Acadm	708.3049722	-0.556764251	0.071875002	-7.746285057	9.46e-15	8.41e-12
Acd	352.0497587	-0.212261132	0.06961856	-3.048915874	0.002296688	0.058064841
Ache	493.4324654	-0.22231896	0.075035519	-2.962849628	0.003048054	0.068462509
Actb	5858.863432	-0.199725266	0.043175159	-4.625930102	3.73e-06	0.000427817
Actg1	1795.495959	-0.235717622	0.041232993	-5.716723521	1.09e-08	2.76e-06
Acvr2b	181.8870716	-0.24526305	0.084600218	-2.899082936	0.003742559	0.078139648
Adcy1	4548.327159	-0.426841077	0.060780755	-7.0226353	2.18e-12	1.45e-09
Adrb1	247.6058968	-0.31712918	0.078604115	-4.034511184	5.47e-05	0.003742089
AI452195	252.4026882	-0.234434903	0.072228799	-3.245726191	0.001171515	0.036123956
AI593442	584.6211207	-0.177615671	0.061811099	-2.873523929	0.004059203	0.082022045
Akap6	2019.319019	-0.137899673	0.043932165	-3.138922761	0.001695701	0.046990748
Alg10b	839.9716506	-0.139356678	0.049216781	-2.831487034	0.004633211	0.088389535
Anapc2	350.9812795	-0.192575773	0.06897097	-2.792127936	0.005236265	0.095194731
Antxr2	107.5810527	-0.389655613	0.13681623	-2.848021848	0.00439919	0.086119198
Ap2a2	3604.210236	-0.154912223	0.04497626	-3.444310884	0.000572517	0.021737309
Aqr	885.4864142	-0.161695739	0.050669492	-3.191185347	0.001416904	0.041358636
Arfgef1	3091.868487	-0.178090436	0.040031034	-4.448809329	8.63e-06	0.000877374
Arhgap23	586.1409759	-0.164421648	0.059115741	-2.781351369	0.005413311	0.097638585
Arid5b	579.7266985	-0.23973272	0.053987389	-4.440531848	8.97e-06	0.000894768
Arr3	940.6329301	-0.306480026	0.054958628	-5.576558879	2.45e-08	5.45e-06
Asns	399.4754889	-0.324959784	0.074787596	-4.345102708	1.39e-05	0.001314369
Asrgl1	640.9811013	-0.175077203	0.048951545	-3.576540878	0.000348171	0.015014318
Atf5	39.75879941	-0.577232757	0.190994953	-3.022240895	0.002509108	0.060702203
Atg16l1	326.218647	-0.240264997	0.073215682	-3.281605666	0.001032178	0.032789302
Atp1a1	1990.173998	-0.167476393	0.059152067	-2.831285578	0.004636131	0.088389535
Atp1a3	26280.81843	-0.114726179	0.038616639	-2.970900143	0.002969283	0.06757245
Atrn	1735.493727	-0.123592913	0.043863951	-2.817642066	0.004837771	0.090870028
AW555464	1567.14902	-0.170988031	0.042418065	-4.031019149	5.55e-05	0.003773939
Bai2	418.9866929	-0.283822819	0.060687239	-4.67681216	2.91e-06	0.000353252
Bat5	454.4691923	-0.229614755	0.060280001	-3.80913657	0.000139453	0.007514259
Bbs1	820.639693	-0.170400039	0.046585533	-3.657788761	0.000254401	0.011749782
BC024814	122.2282153	-0.339194333	0.111941701	-3.030098083	0.002444743	0.059718914
BC027072	3937.578784	-0.356265074	0.059532266	-5.984403004	2.17e-09	6.62e-07
Bend3	56.94688326	-0.62579573	0.145837216	-4.291056476	1.78e-05	0.001620612
C80913	679.1574242	-0.158052844	0.046292076	-3.41425266	0.000639572	0.023448788
Cacnb2	1831.252719	-0.144534194	0.051084861	-2.829296023	0.004665053	0.088389535
Car8	819.5916394	-0.348583277	0.05635582	-6.185399819	6.19e-10	2.28e-07
Casp7	132.9269969	-0.566015086	0.116628253	-4.853155807	1.22e-06	0.000180057
Ccnjl	132.4574265	-0.299356992	0.106799667	-2.802976834	0.005063331	0.093785893
Cdc42bpb	1867.945779	-0.107100194	0.032828502	-3.262414903	0.001104673	0.034869112
Cdh4	501.261162	-0.212812487	0.055356606	-3.84439185	0.000120852	0.006750615
Cdr2	1805.164602	-0.218448576	0.059500163	-3.671394571	0.000241231	0.011388005
Chgb	6668.290516	-0.127360203	0.044417945	-2.867314199	0.004139718	0.083020021
Ckap4	388.1802187	-0.244774576	0.085686195	-2.856639562	0.004281517	0.084748624
Clcn7	498.4409807	-0.177085362	0.051197497	-3.458867563	0.000542452	0.020968897
Clip3	5141.400394	-0.120082751	0.040100673	-2.994532089	0.002748661	0.064169516
Col19a1	178.2326397	-0.777298793	0.114892338	-6.76545369	1.33e-11	7.09e-09
Col4a2	414.7973311	-0.304135503	0.081496636	-3.731878004	0.000190058	0.009357721
Col4a3	368.1041577	-0.880744803	0.284757105	-3.092968665	0.001981651	0.052592612
Cox4nb	668.6026418	-0.172911935	0.04760121	-3.63251136	0.000280676	0.012797156
Cpt1a	2096.174437	-0.468020145	0.044266416	-10.57280417	3.98e-26	7.079999999999999e-23
Crym	195.5203678	-0.407064441	0.112193158	-3.628246572	0.000285353	0.012955011
Csdc2	1013.829484	-0.194726983	0.046888646	-4.152966685	3.28e-05	0.002646556
Csmd1	190.6285677	-0.401287459	0.090159012	-4.450885711	8.55e-06	0.000877288
Cst3	5307.933336	-0.278069175	0.056239234	-4.944398346	7.64e-07	0.0001181
Cxcl14	536.4169822	-0.391607374	0.057852378	-6.769080005	1.3e-11	7.09e-09
Cxxc5	667.2345164	-0.163386762	0.049281967	-3.315345819	0.000915298	0.030560702
D10Bwg1379e	581.8153862	-0.198072121	0.069520663	-2.849111495	0.004384151	0.085982557
Dcdc2a	183.9716109	-0.377056099	0.095439365	-3.950739804	7.79e-05	0.004782666
Dchs1	179.9167448	-0.262785518	0.084195502	-3.121134891	0.001801555	0.049067718
Ddb1	4185.879054	-0.101259185	0.029338732	-3.451382453	0.000557723	0.021327394
Ddx1	1770.077002	-0.129371435	0.044232916	-2.924777449	0.003447026	0.074145817
Ddx21	645.2600168	-0.24833145	0.060489128	-4.105389811	4.04e-05	0.002964195
Ddx27	297.8290286	-0.185017676	0.064085795	-2.887030999	0.003888959	0.079485259
Ddx46	1395.631283	-0.21084399	0.053225082	-3.961365232	7.45e-05	0.004704615
Dennd1a	1189.77564	-0.108942696	0.038851546	-2.804076237	0.005046097	0.093629236
Dgkg	137.9119857	-0.33214908	0.107029387	-3.103344693	0.001913466	0.05106396
Dhx33	240.9678583	-0.197797429	0.071321207	-2.7733326	0.005548538	0.098992226
Dhx37	188.4063212	-0.267334678	0.082574855	-3.237482873	0.001205892	0.036864354
Dhx38	719.8142134	-0.16783492	0.05358515	-3.132116249	0.001735511	0.047722091
Dio2	249.0354617	-0.616197498	0.178037106	-3.461062201	0.000538048	0.020874324
Disp2	1466.700637	-0.138725629	0.048180001	-2.879319759	0.00398534	0.080989706
Dkk3	5825.367184	-0.216726786	0.052382264	-4.137407782	3.51e-05	0.002676788
Dlgap3	600.8969717	-0.171417509	0.055585866	-3.083832667	0.002043525	0.054100169
Dmwd	706.5207922	-0.152219698	0.054442354	-2.79597936	0.00517427	0.095057227
Dnajc16	386.8191219	-0.183229568	0.058876867	-3.112080812	0.001857736	0.050037853
Dnmt3a	876.6812804	-0.166971398	0.055401626	-3.013835684	0.002579675	0.061352945
Doc2b	930.8852879	-0.302295533	0.049780791	-6.072533744	1.26e-09	3.95e-07
Dohh	289.9907041	-0.267453913	0.071243502	-3.75408149	0.000173978	0.008644394
Dpf3	849.2577915	-0.336805865	0.064446679	-5.226116739	1.73e-07	3.13e-05
Dscaml1	2304.882094	-0.235948225	0.050836789	-4.641288902	3.46e-06	0.000410451
Dtx1	500.4748746	-0.24204288	0.062852305	-3.850978566	0.000117647	0.006644859
Dusp4	295.3057412	-0.351469164	0.089265173	-3.937360449	8.24e-05	0.00499399
Dyrk2	657.1519561	-0.402456196	0.069657301	-5.77765994	7.57e-09	1.97e-06
E130218I03Rik	2963.701021	-0.113010594	0.039721993	-2.845038387	0.004440607	0.086139704
Ehd4	472.2175368	-0.529269802	0.072266972	-7.323813195	2.41e-13	1.71e-10
Eif4a3	414.636067	-0.174933507	0.054779884	-3.193389498	0.001406131	0.04121433
Eprs	1450.236962	-0.135870535	0.040539144	-3.351588644	0.000803493	0.027388077
Etf1	725.8275895	-0.174700716	0.059455499	-2.938344137	0.003299705	0.071992956
Fam100a	558.2445526	-0.158868123	0.052226896	-3.041883315	0.00235103	0.058742717
Fam102a	759.6313638	-0.181286875	0.050651371	-3.579110907	0.000344765	0.01500188
Fasn	2009.765025	-0.160213918	0.053829275	-2.976334294	0.002917167	0.066963877
Fbxl16	1317.83586	-0.160279729	0.048102198	-3.332066638	0.000862036	0.029104631
Fhod3	1637.217982	-0.186624459	0.052218293	-3.573928729	0.000351665	0.015014318
Frmd4b	2788.114894	-0.138900322	0.042244875	-3.287980415	0.001009089	0.032427609
Fscn1	778.4707283	-0.165725464	0.055843234	-2.96769099	0.003000458	0.068110399
Ftsj3	243.6320792	-0.285535046	0.095722486	-2.982946401	0.00285488	0.066214594
Gadd45g	86.26879993	-0.412277392	0.119291554	-3.456048478	0.000548157	0.021070454
Gak	875.4386507	-0.144881239	0.035649036	-4.064099746	4.82e-05	0.003443839
Gars	804.929721	-0.23624125	0.046921806	-5.034785968	4.78e-07	7.85e-05
Gm1821	881.0906083	-0.231869888	0.059099034	-3.923412473	8.73e-05	0.005232814
Gng4	296.7138512	-0.196260661	0.070410903	-2.787361776	0.005313912	0.096254882
Grik5	668.501404	-0.167961122	0.046681686	-3.598008925	0.000320663	0.014195641
Grina	3052.982179	-0.216827314	0.039688579	-5.463216928	4.68e-08	9.41e-06
Guca1a	4888.794298	-0.224387255	0.05454993	-4.113428802	3.9e-05	0.00292272
Guca1b	6337.637822	-0.346907412	0.063407887	-5.471045122	4.47e-08	9.18e-06
Gucy2e	6764.452423	-0.179322375	0.049758652	-3.603843113	0.000313546	0.013938442
Hcfc1	2034.912442	-0.219164663	0.057745898	-3.79532867	0.000147448	0.007749727
Hcls1	108.9474785	-0.518986633	0.120171135	-4.318729567	1.57e-05	0.001468671
Hcn1	7305.287554	-0.334779626	0.058708195	-5.70243437	1.18e-08	2.93e-06
Hdac9	1246.408305	-0.274206871	0.045005839	-6.092695424	1.11e-09	3.6e-07
Herc3	3146.37405	-0.135625423	0.047748815	-2.840393514	0.004505791	0.08687565
Hgf	47.67262909	-0.520743283	0.187244654	-2.78108492	0.005417756	0.097638585
Hif1a	7408.724762	-0.129374903	0.033493224	-3.862718657	0.000112132	0.006414434
Hkdc1	98.75517455	-0.545256645	0.135798798	-4.01518021	5.94e-05	0.003960892
Hlcs	140.3741993	-0.280574684	0.087076391	-3.22216711	0.001272249	0.038235565
Hmgb3	157.426938	-0.503444261	0.086691726	-5.807293096	6.35e-09	1.69e-06
Hnrnpa0	1155.514989	-0.160059585	0.049918637	-3.206409379	0.001344026	0.040054236
