source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0005515,protein binding,4.462775399675735e-21,True,"""Binding to a protein."" [GOC:go_curators]",10460,273,196,25063,0.717948717948718,0.018738049713193115,query_1,['GO:0005488']
GO:MF,GO:0005488,binding,1.1595843467574314e-15,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",16378,273,241,25063,0.8827838827838828,0.014714861399438272,query_1,['GO:0003674']
GO:CC,GO:0005737,cytoplasm,1.2098893917813897e-13,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",11561,277,186,26995,0.6714801444043321,0.0160885736527982,query_1,"['GO:0005622', 'GO:0110165']"
GO:CC,GO:0043005,neuron projection,4.910891937248586e-12,True,"""A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]",1525,277,52,26995,0.18772563176895307,0.03409836065573771,query_1,['GO:0120025']
GO:CC,GO:0110165,cellular anatomical entity,3.2140802919090075e-11,True,"""A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."" [GOC:kmv]",22653,277,270,26995,0.9747292418772563,0.011918951132300357,query_1,['GO:0005575']
GO:BP,GO:0048731,system development,1.8969312978329952e-09,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4117,275,89,26944,0.3236363636363636,0.02161768277872237,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0007275,multicellular organism development,1.8969312978329952e-09,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4879,275,99,26944,0.36,0.020291043246566918,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0022008,neurogenesis,1.8969312978329952e-09,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1907,275,55,26944,0.2,0.028841111693759833,query_1,"['GO:0007399', 'GO:0030154']"
GO:BP,GO:0065007,biological regulation,1.8969312978329952e-09,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",13527,275,195,26944,0.7090909090909091,0.014415613218008428,query_1,['GO:0008150']
GO:CC,GO:0042995,cell projection,2.1032652036377373e-09,True,"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]",2564,277,64,26995,0.23104693140794225,0.0249609984399376,query_1,['GO:0110165']
