RefSeq Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1110002L01Rik	756.7442416	0.214392751	0.056488755	3.795317318	0.000147455	0.007749727
1110038D17Rik	559.5329736	0.196306528	0.056424089	3.479126231	0.000503052	0.01965955
1200016B10Rik	295.1970385	0.239538839	0.066717953	3.590320548	0.000330272	0.014560608
1500004A13Rik	130.6192251	0.368513591	0.08898661	4.141225176	3.45e-05	0.002676788
1700029J07Rik	230.7086566	0.299339956	0.088130097	3.396568987	0.000682364	0.024595056
2210404O07Rik	28.53712128	0.733079102	0.2428039	3.019222925	0.00253424	0.060814487
2610100L16Rik	1872.4797	0.212757534	0.047447031	4.484106339	7.32e-06	0.000765868
2810055F11Rik	70.64626986	0.558592891	0.136279832	4.098866885	4.15e-05	0.003013286
2900006K08Rik	117.5556828	0.522714278	0.112558023	4.643953959	3.42e-06	0.000409742
2900052N01Rik	142.2649378	0.404224093	0.105402851	3.835039457	0.000125544	0.006925227
3110001I22Rik	30.9719456	0.575126606	0.197010262	2.919272322	0.003508496	0.07531618
3110056K07Rik	83.33395027	0.352485694	0.115131453	3.061593382	0.002201623	0.056736996
4831440E17Rik	88.19824009	0.335648599	0.120215862	2.792049189	0.005237539	0.095194731
4930578N16Rik	210.4820423	0.326916448	0.078277978	4.176352741	2.96e-05	0.002469043
4933424B01Rik	590.4171252	0.198184651	0.060928607	3.25273565	0.001142998	0.035761417
5330426P16Rik	87.67122595	0.575379504	0.12496073	4.604482571	4.13e-06	0.000469314
5730405O15Rik	35.69867771	0.516975097	0.181623125	2.846416715	0.004421429	0.086139704
9330159F19Rik	252.311641	0.183144785	0.064338405	2.846585744	0.004419083	0.086139704
A230045G11Rik	245.1633052	0.347191022	0.082720737	4.197146163	2.7e-05	0.00228875
A230046K03Rik	421.0997456	0.157268306	0.055806166	2.818116998	0.00483062	0.090870028
A330023F24Rik	624.0941203	0.250327895	0.077036694	3.249463108	0.001156231	0.035859959
A330076H08Rik	86.10161803	0.374905114	0.125059471	2.997814661	0.00271923	0.06362163
A430035B10Rik	65.61541941	0.881368746	0.134565955	6.549715681	5.76e-11	2.67e-08
A930003O13Rik	79.41239761	0.37677943	0.134907403	2.792874377	0.005224198	0.095194731
A930006I01Rik	666.6580873	0.226040377	0.063170685	3.578247974	0.000345905	0.01500188
A930024E05Rik	95.85403326	0.362639237	0.122278584	2.965680707	0.003020139	0.068357584
A930033H14Rik	556.5853596	0.352819945	0.07883341	4.475512932	7.62e-06	0.00078959
Abca7	395.9166571	0.291695836	0.073030438	3.99416796	6.49e-05	0.004223482
Abca8b	348.4359005	0.253417869	0.082810581	3.060211205	0.00221181	0.056808988
Adamts5	472.7232108	0.244619332	0.069255446	3.532131343	0.000412225	0.016471999
Agtpbp1	1015.311929	0.152855007	0.044872411	3.406436219	0.000658169	0.023884381
Ahi1	1180.400812	0.210282269	0.048384668	4.34605168	1.39e-05	0.001314369
Akr1e1	449.3004065	0.203463321	0.066330011	3.067439866	0.002159009	0.056044931
Aktip	764.0629415	0.152146245	0.051126616	2.975871601	0.002921572	0.066963877
Ankrd27	372.9975847	0.233698105	0.060687548	3.850841108	0.000117713	0.006644859
Aqp1	677.722631	0.511294125	0.066945141	7.63750907	2.21e-14	1.69e-11
Arhgap15	29.2036146	0.662681042	0.212622753	3.116698625	0.001828884	0.049523774
Arsa	111.2705618	0.346283333	0.103852368	3.334380709	0.000854896	0.028955179
Atp10a	47.14437952	0.536781512	0.173020289	3.102419469	0.001919458	0.051069061
BC034090	1309.338834	0.152018046	0.040209611	3.780639547	0.000156426	0.008062363
BC055402	155.2588185	0.449252567	0.140259642	3.203006658	0.001360008	0.04041763
BC065397	56.99869384	0.517087708	0.150617377	3.43312118	0.000596675	0.02249445
Bnip3	1280.905454	0.308620507	0.075104945	4.109190214	3.97e-05	0.002941747
Btaf1	1407.750301	0.264603229	0.034371432	7.69834748	1.38e-14	1.13e-11
Btbd10	356.1287737	0.208059231	0.063404076	3.28148037	0.001032637	0.032789302
C030034I22Rik	61.63364519	0.686746566	0.151228826	4.541108898	5.6e-06	0.000615493
C1ql3	788.3473575	0.197661682	0.058264022	3.39251695	0.000692536	0.024877682
C230091D08Rik	29.85481324	0.642991959	0.225319684	2.853687467	0.004321502	0.085066619
C330007P06Rik	520.5365272	0.159379753	0.056269648	2.83242845	0.00461959	0.088389535
Cabp5	674.9543561	0.27175077	0.055864795	4.864436886	1.15e-06	0.000174946
Cacna2d4	4823.161799	0.119448109	0.039545555	3.020519181	0.002523417	0.060772773
Calr	3034.603699	0.167721351	0.058343011	2.874746231	0.004043523	0.08186025
Casz1	1356.469926	0.211368289	0.062550793	3.37914646	0.000727113	0.025391773
Ccar1	1518.54652	0.139888752	0.045720962	3.059619629	0.002216183	0.056808988
Ccdc117	379.4582175	0.233996427	0.061781629	3.787475836	0.000152185	0.007881878
Ccdc41	116.1742076	0.373306016	0.117663111	3.172668252	0.00151045	0.043203732
Ccnl2	341.9779938	0.289171318	0.071572942	4.040232379	5.34e-05	0.003694093
Cd47	506.3116214	0.161382272	0.058061701	2.779496125	0.00544433	0.09789766
Cdk17	320.9148519	0.234015577	0.065537927	3.570689352	0.000356043	0.015014318
Cdk2ap2	515.4269715	0.308833997	0.073184665	4.219927731	2.44e-05	0.002119754
Chordc1	313.5598084	0.3518106	0.066372444	5.300552171	1.15e-07	2.17e-05
Ckmt1	854.3726967	0.226371046	0.058613853	3.862074115	0.000112428	0.006414434
Clybl	36.57827675	0.54686477	0.160019491	3.417488501	0.000632018	0.023343693
Commd1	458.3222602	0.207054324	0.072382579	2.860554653	0.004229007	0.084335086
Cpsf6	1376.919415	0.144382897	0.040791209	3.539559151	0.000400796	0.016197318
Creld2	148.3306693	0.400871119	0.096840145	4.139513816	3.48e-05	0.002676788
Cstf3	183.3098905	0.231669917	0.075659685	3.06199951	0.002198638	0.056736996
Ctnna1	1212.237964	0.235682055	0.049055388	4.804407163	1.55e-06	0.000215058
Cxxc4	933.2839464	0.122477177	0.038475025	3.183290381	0.001456115	0.041875234
D030056L22Rik	205.391313	0.229520887	0.082838294	2.770709966	0.005593422	0.099460374
D10627	114.7273402	0.318211966	0.104604434	3.042050454	0.002349725	0.058742717
D630037F22Rik	514.7231139	0.203394205	0.06423754	3.16628258	0.001544007	0.043911481
Ddx17	301.3538922	0.380244807	0.084534221	4.49811686	6.86e-06	0.000738834
Dhdds	484.611859	0.143069809	0.050576499	2.828780423	0.004672575	0.088389535
Dhh	86.07973152	0.381181734	0.124888308	3.052181099	0.00227185	0.05784813
Dnajc9	392.7926454	0.18704628	0.060118788	3.111278312	0.001862793	0.050037853
Dock8	105.6148325	0.321111092	0.112484877	2.854704558	0.004307688	0.084951431
Drd4	1822.335843	0.811905663	0.051920312	15.63753437	4.0399999999999996e-55	4.31e-51
Dusp11	830.7346658	0.203762317	0.057242798	3.559614924	0.000371399	0.015395578
E230008N13Rik	91.82416392	0.344435303	0.120877758	2.84945144	0.004379469	0.085982557
Ebpl	732.1380007	0.176215804	0.052005555	3.388403515	0.000703008	0.025169087
Eef1a1	13666.75824	0.100195982	0.035862616	2.793883786	0.005207919	0.095194731
Eef2	10596.44882	0.143524464	0.027015722	5.312627374	1.08e-07	2.1e-05
Egln1	1565.431946	0.198471107	0.060033811	3.305988792	0.000946419	0.031272783
Eif3f	1289.555406	0.174161505	0.036599868	4.758528275	1.95e-06	0.00026007
Ethe1	74.15443077	0.3799651	0.119081554	3.1907973	0.001418808	0.041358636
Fabp12	1552.387076	0.279137736	0.053732255	5.194975283	2.05e-07	3.64e-05
Fam162a	366.6586272	0.269093654	0.071653007	3.755510986	0.000172988	0.008644394
Fam178a	1104.399888	0.155901501	0.044191772	3.527839979	0.000418965	0.016616882
Fam184a	816.1792626	0.152682088	0.052487215	2.908938643	0.00362658	0.076922435
Fam33a	140.3938585	0.282186998	0.094642434	2.981611801	0.002867353	0.066304424
Fam63b	1714.47031	0.138546294	0.036318654	3.814742011	0.000136325	0.007383017
Fgfbp3	104.7220645	0.686267478	0.142160946	4.82739809	1.38e-06	0.000196777
Fhad1	48.43381259	0.550924172	0.192852796	2.856708245	0.004280591	0.084748624
Frmpd1	2860.237498	0.297565368	0.049897403	5.963544147	2.47e-09	7.31e-07
Fundc1	272.6158735	0.295758337	0.083666117	3.534983412	0.000407801	0.01635649
Fut11	124.2565928	0.332382301	0.111122994	2.991120811	0.002779555	0.064749067
Gabpb1	197.2200806	0.265021	0.083729743	3.16519544	0.001549788	0.043911481
Gckr	122.9506504	0.760249722	0.1359629	5.591596841	2.25e-08	5.11e-06
Glb1l3	180.0005908	0.28006673	0.085017761	3.294214378	0.000986972	0.032103669
Gltscr2	1239.376423	0.255607713	0.086481061	2.955649596	0.003120113	0.069495805
Gm10278	646.7428748	0.470408788	0.080127846	5.870728004	4.34e-09	1.22e-06
Gm10742	1046.90681	0.131903349	0.047165475	2.796608123	0.005164213	0.095057227
Gm11744	1140.338415	0.149572938	0.050645828	2.953312139	0.003143839	0.069878371
Gm12758	106.3895729	0.486755699	0.126463926	3.848968759	0.000118616	0.006660608
Gm4979	325.8147361	0.190126129	0.062714973	3.031590682	0.002432688	0.059718914
Gm626	1023.648663	0.386305912	0.063329376	6.099948163	1.06e-09	3.6e-07
Gnaz	1256.572939	0.345545124	0.060647534	5.697595595	1.22e-08	2.95e-06
Gnb2l1	1536.836343	0.148568349	0.044940578	3.305884268	0.000946772	0.031272783
Gnb5	1415.455205	0.151463965	0.049919302	3.034176368	0.002411934	0.059702035
Gramd2	240.4700422	0.293092845	0.08677	3.377813129	0.000730647	0.025391773
Grk5	113.9049351	0.309085733	0.094124987	3.283779814	0.001024249	0.032740039
Grm6	963.8791905	0.182096709	0.062646929	2.906714033	0.003652469	0.077164743
Gtf2e1	158.2339169	0.31357686	0.097384969	3.219971851	0.001282032	0.038421342
Gzmm	201.1634881	0.26259865	0.085420183	3.074199093	0.002110685	0.055193385
H2afv	691.7227175	0.239876427	0.056983281	4.209593075	2.56e-05	0.002183569
Higd1a	482.8066817	0.177227359	0.054732082	3.238089088	0.001203332	0.036864354
Higd2a	566.3528273	0.178875519	0.05125627	3.489827093	0.000483333	0.018958388
Hist1h1c	449.3311934	0.31045944	0.10004532	3.103188019	0.00191448	0.05106396
Hist1h2ac	120.7390087	0.415762692	0.126326687	3.291170705	0.000997713	0.032324925
Hist1h2bb	88.14295492	1.006051234	0.337811149	2.978146925	0.002899969	0.066824563
Hist1h2bc	1262.242233	0.52609507	0.075205236	6.995457997	2.64e-12	1.66e-09
Hist1h4k	79.33320654	0.395272874	0.136723618	2.891035799	0.003839744	0.079238349
Hist3h2a	1744.622824	0.187372995	0.066189081	2.830874692	0.00464209	0.088389535
Hjurp	267.9725264	0.201703384	0.066250254	3.04456773	0.00233015	0.058632938
Hk2	7565.028477	0.306357947	0.063268602	4.842179802	1.28e-06	0.000187688
Hltf	212.5950703	0.264629893	0.073793045	3.58610886	0.000335649	0.014676385
Hmg20a	688.2980293	0.156377032	0.051570256	3.032310588	0.002426894	0.059718914
Hmgn1	4119.890292	0.206771439	0.067192288	3.077309108	0.002088786	0.054877656
Hsdl2	354.6342699	0.209481001	0.065591758	3.193709188	0.001404575	0.04121433
Hsp90aa1	19757.84794	0.413571056	0.036633128	11.2895369	1.48e-29	3.15e-26
Hsp90b1	5382.330565	0.255961725	0.040089812	6.384707545	1.72e-10	7.05e-08
Hspa4l	2504.572107	0.132133491	0.040942607	3.227285737	0.001249706	0.037770858
Hspa8	8922.207276	0.390719671	0.060168405	6.493768149	8.37e-11	3.72e-08
Ide	1419.761955	0.426091584	0.047115402	9.043573036	1.52e-19	2.31e-16
Ift80	677.3719794	0.193726438	0.052336358	3.701565129	0.000214274	0.010251504
Ing2	186.087341	0.289906503	0.101479402	2.856801442	0.004279334	0.084748624
Insl5	42.89484814	0.552891642	0.192626849	2.870272989	0.004101176	0.082401964
Irf7	192.7933688	1.57448496	0.107792274	14.60665874	2.5499999999999998e-48	1.36e-44
Isl1	407.2812251	0.231012489	0.059534146	3.880335968	0.000104312	0.006081463
Jmjd1c	2387.338422	0.116128044	0.040189767	2.889492857	0.003858638	0.079321399
Kdm6b	2097.72798	0.169054692	0.051871345	3.259115242	0.001117603	0.035173163
Khdrbs3	3231.865503	0.190698571	0.044371324	4.2977886	1.73e-05	0.001600448
Klhl9	1329.870853	0.146340556	0.044567278	3.283587485	0.001024948	0.032740039
Krt18	282.4602929	0.290886105	0.099358953	2.927628531	0.003415579	0.073617793
Lect1	107.0253095	0.391989046	0.121577087	3.224201656	0.001263244	0.038072179
Lgmn	1666.98676	0.194833907	0.045531829	4.27907053	1.88e-05	0.001682612
Lman2l	303.6535629	0.194427312	0.064760375	3.002257339	0.002679855	0.0629766
LOC100303644	56.38821554	0.470521324	0.162458108	2.896262493	0.003776364	0.078691455
LOC100502627	11394.81021	0.158555129	0.052396053	3.026089173	0.002477392	0.060071132
LOC100502714	1664.460013	0.12992111	0.044897074	2.893754509	0.003806657	0.078860618
LOC100502819	100.684123	0.323299508	0.108676828	2.97487066	0.002931121	0.066963877
LOC100502846	30.89566641	0.616565776	0.196678536	3.134891014	0.00171918	0.047517949
LOC100502914	152.6580931	0.89381161	0.111911037	7.986804804	1.38e-15	1.34e-12
LOC100502977	84.45473919	0.305179017	0.106508029	2.865314653	0.004165951	0.083338974
LOC100503496	211.6302925	0.547825052	0.10831862	5.057533538	4.25e-07	7.08e-05
LOC100503532	70.27831322	0.508485308	0.178807287	2.843761664	0.004458438	0.086172245
LOC100503569	31.75243691	0.730350892	0.213799079	3.416061921	0.000635338	0.023373865
LOC100503583	125.8231526	0.331191338	0.09382373	3.529931496	0.000415667	0.01654759
Lpcat1	504.7102586	0.260822678	0.055591214	4.691796808	2.71e-06	0.000337287
Lrfn2	229.745602	0.24307869	0.084613086	2.872826198	0.004068179	0.08204801
Lrrc2	315.649977	0.368902415	0.089883113	4.104246096	4.06e-05	0.002964195
Luc7l	238.9939153	0.241121634	0.07642214	3.155128009	0.001604277	0.045154691
Mafg	184.2010838	0.236521668	0.080637311	2.933154216	0.003355372	0.072909291
Manf	320.8857998	0.299552944	0.072189518	4.149535158	3.33e-05	0.002646556
Mapre1	487.9682701	0.181206345	0.053692577	3.374886326	0.000738462	0.025580031
Matk	104.243958	0.332617298	0.114900015	2.894841211	0.003793504	0.078741034
Mcm10	31.33388605	0.693749908	0.194266487	3.571124992	0.000355451	0.015014318
Mif	2359.155192	0.148701651	0.049256133	3.018946939	0.00253655	0.060814487
Mospd1	76.84799406	0.368717918	0.128701285	2.864912491	0.004171245	0.083338974
Mrpl41	228.1342867	0.290663336	0.098092137	2.9631665	0.003044918	0.068462509
Ncapd2	123.9191584	0.338699664	0.117400221	2.885000221	0.003914134	0.079846834
Ncapd3	558.1361728	0.228258771	0.054820561	4.163743768	3.13e-05	0.002569353
Nfyb	300.8256221	0.247744449	0.081669697	3.033492946	0.002417404	0.059702035
Nhlh2	360.9873991	0.20435483	0.07087504	2.883311668	0.003935179	0.080122944
Nin	190.1064913	0.252113383	0.090174495	2.795839132	0.005176516	0.095057227
Nktr	1518.423496	0.193330037	0.056357974	3.430393657	0.000602706	0.022562358
Npat	680.1087553	0.185820004	0.050778309	3.659436642	0.00025277	0.011725246
Npepps	1613.162846	0.202952717	0.047316098	4.289295276	1.79e-05	0.001620612
Nphp4	300.4074722	0.449987056	0.0939871	4.787753381	1.69e-06	0.000230695
Nufip2	1906.374035	0.115738732	0.039105035	2.959688766	0.0030795	0.068878791
Oat	593.5072952	0.264324708	0.07314054	3.613928865	0.000301592	0.013576723
Ogfrl1	1766.962373	0.134711835	0.037930392	3.551553943	0.000382963	0.015594799
Optn	1731.549612	0.121119372	0.038507598	3.145337021	0.001658956	0.046333512
Ormdl1	236.1216187	0.260300466	0.078975868	3.2959494	0.000980897	0.032076459
Otor	27.50003335	0.868919613	0.233754402	3.717233158	0.000201417	0.009812389
P4ha1	649.5190352	0.253347004	0.054728221	4.629184014	3.67e-06	0.000425727
Pacrg	159.8479834	0.366464457	0.090269383	4.0596761	4.91e-05	0.003451267
Pcp4l1	948.139852	0.344502114	0.061610874	5.591579764	2.25e-08	5.11e-06
Pde8a	618.1434727	0.215880067	0.054256895	3.978850395	6.92e-05	0.004424076
Pde8b	89.41218471	0.549015889	0.124492493	4.410032098	1.03e-05	0.001011649
Pdia3	1653.951434	0.197067131	0.051993567	3.79022144	0.000150513	0.007833286
Per3	631.6419824	0.209121372	0.050852688	4.112297291	3.92e-05	0.00292272
Pfkp	4758.908771	0.377657031	0.103624272	3.644484301	0.000267928	0.012268365
Pgk1	4593.398886	0.188189826	0.051304889	3.668068091	0.00024439	0.01144838
Phf23	273.1302698	0.236447257	0.066791319	3.540089645	0.000399991	0.016197318
Phyhd1	134.0128374	0.269665315	0.097032688	2.779118268	0.005450668	0.09789766
Pik3r1	295.8414632	0.197916622	0.069956699	2.829130371	0.004667468	0.088389535
Pik3r5	72.56577781	0.417998513	0.141176518	2.960821798	0.003068194	0.06877009
Pld2	71.84818311	0.38115058	0.126506805	3.012885976	0.002587761	0.061352945
Plekha1	915.0236035	0.151779077	0.04975209	3.050707527	0.002283028	0.057994359
Plekhg4	81.41550766	0.367439131	0.117816985	3.118728002	0.001816336	0.049309118
Pnpla3	350.7592933	0.457479553	0.074718114	6.122739576	9.2e-10	3.27e-07
Ppa1	1267.101695	0.140261996	0.048554343	2.888763124	0.003867603	0.079352801
Ppef2	1156.08245	0.183747857	0.05432352	3.382473326	0.000718363	0.025391773
Ppp1cb	2324.269721	0.102283665	0.034769556	2.941759314	0.003263535	0.071791035
Prdm9	361.2222531	0.335562072	0.078123229	4.295291879	1.74e-05	0.001604614
Prnp	3239.706809	0.19703918	0.040854054	4.823001915	1.41e-06	0.000198519
Prpf39	632.1345078	0.193613613	0.056651299	3.417637685	0.000631671	0.023343693
Prr11	128.3194821	0.394230529	0.09518666	4.141657339	3.45e-05	0.002676788
Psmc6	790.9156455	0.153882265	0.054640213	2.816282288	0.004858296	0.091095181
Ptpn2	223.6026245	0.432051826	0.089276513	4.839479176	1.3e-06	0.000187688
